Cache miss: -76.640625,38.671875,-75.9375,39.375, Tile: x: 147, y: 183, z: 8, time: 0.129241943359
Cache miss: -76.640625,41.484375,-75.9375,42.1875, Tile: x: 147, y: 187, z: 8, time: 0.17470908165
Cache miss: -76.640625,40.078125,-75.9375,40.78125, Tile: x: 147, y: 185, z: 8, time: 0.162301063538
Cache miss: -76.640625,37.96875,-75.9375,38.671875, Tile: x: 147, y: 182, z: 8, time: 0.105613946915
Cache miss: -74.8828125,40.78125,-74.53125,41.1328125, Tile: x: 299, y: 372, z: 9, time: 0.174200057983
Cache miss: -74.1796875,40.78125,-73.828125,41.1328125, Tile: x: 301, y: 372, z: 9, time: 0.226302146912
Cache miss: -73.828125,40.78125,-73.4765625,41.1328125, Tile: x: 302, y: 372, z: 9, time: 0.276224851608
Cache miss: -74.53125,40.78125,-74.1796875,41.1328125, Tile: x: 300, y: 372, z: 9, time: 0.244583845139
Cache miss: -75.234375,40.78125,-74.8828125,41.1328125, Tile: x: 298, y: 372, z: 9, time: 0.40697312355
Cache miss: -74.8828125,40.4296875,-74.53125,40.78125, Tile: x: 299, y: 371, z: 9, time: 0.218028068542
Cache miss: -75.234375,40.4296875,-74.8828125,40.78125, Tile: x: 298, y: 371, z: 9, time: 0.422878980637
Cache miss: -74.53125,40.4296875,-74.1796875,40.78125, Tile: x: 300, y: 371, z: 9, time: 0.168055057526
Cache miss: -74.1796875,40.4296875,-73.828125,40.78125, Tile: x: 301, y: 371, z: 9, time: 0.180917024612
Cache miss: -73.828125,40.4296875,-73.4765625,40.78125, Tile: x: 302, y: 371, z: 9, time: 0.214236021042
Cache miss: -73.4765625,40.4296875,-73.125,40.78125, Tile: x: 303, y: 371, z: 9, time: 0.145182132721
Cache miss: -73.4765625,41.1328125,-73.125,41.484375, Tile: x: 303, y: 373, z: 9, time: 0.189954996109
Cache miss: -73.828125,41.1328125,-73.4765625,41.484375, Tile: x: 302, y: 373, z: 9, time: 0.181414842606
Cache miss: -74.1796875,41.1328125,-73.828125,41.484375, Tile: x: 301, y: 373, z: 9, time: 0.174986124039
Cache miss: -73.4765625,40.78125,-73.125,41.1328125, Tile: x: 303, y: 372, z: 9, time: 0.240372180939
